TimeStamp,Var_1,Var_2,Var_3,Var_4,Var_5,Var_6,HourSin,WeekCos,CBWD
2021-03-01 00:00:00,0.7534,3.375,10.195,1.449,19174.977,286443.88,0.0,1.0,NW
2021-03-01 01:00:00,0.3376,2.414,3.92,0.4065,7529.263000000001,178930.45,0.25881904510252074,1.0,NW
2021-03-01 02:00:00,0.2032,1.654,3.318,0.2142,3310.539,42296.164,0.5,1.0,NW
2021-03-01 03:00:00,0.242,1.393,3.148,0.2312,4535.464,26220.232000000004,0.7071067811865475,1.0,NW
2021-03-01 04:00:00,0.194,1.429,3.215,0.2157,2732.911,27990.348,0.8660254037844386,1.0,NW
2021-03-01 05:00:00,0.1973,1.4280000000000002,3.215,0.2054,2853.297,31624.547,0.9659258262890684,1.0,NW
2021-03-01 05:00:00,0.1973,1.4280000000000002,3.215,0.2054,2853.297,31624.547,0.9659258262890684,1.0,NW
2021-03-01 07:00:00,0.7456,2.78,5.207000000000002,0.8716,37881.246,213228.2,0.9659258262890684,1.0,NW
2021-03-01 08:00:00,0.741,3.5780000000000003,5.44,1.099,30510.3,369757.62,0.8660254037844387,1.0,NW
2021-03-01 09:00:00,1.585,4.754,8.805,1.885,69349.14,368914.5,0.7071067811865476,1.0,NW
2021-03-01 10:00:00,1.703,6.145,8.305,2.092,117518.35,773114.06,0.5,1.0,NW
2021-03-01 11:00:00,2.408,5.42,12.125,3.053,66372.43,357602.75,0.258819045102521,1.0,NW
2021-03-01 12:00:00,1.58,6.507999999999999,8.76,2.48,100535.17,717561.8,1.2246467991473532e-16,1.0,NW
2021-03-01 13:00:00,1.196,4.668,8.02,1.98,32217.006,233051.16,-0.2588190451025208,1.0,NW
2021-03-01 14:00:00,1.639,4.703,9.33,2.07,25117.629,177956.77,-0.4999999999999997,1.0,NW
2021-03-01 15:00:00,1.5219999999999998,6.19,8.49,2.406,82678.37,563519.4,-0.7071067811865471,1.0,cv
2021-03-01 16:00:00,1.144,5.035,7.89,1.934,60332.766,363745.8,-0.8660254037844384,1.0,NW
2021-03-01 17:00:00,1.615,7.227,9.164,2.43,91600.35,872107.94,-0.9659258262890684,1.0,NW
2021-03-01 18:00:00,2.0,6.79,9.51,1.745,60874.637,765578.3,-1.0,1.0,NE
2021-03-01 19:00:00,3.242,8.36,12.33,3.688,138881.83,1390228.0,-0.9659258262890684,1.0,NW
2021-03-01 20:00:00,4.36,9.22,11.79,4.3,317028.4,1458270.4,-0.8660254037844386,1.0,cv
2021-03-01 21:00:00,3.447,7.45,9.664,3.115,246340.17,1283467.8,-0.7071067811865477,1.0,NW
2021-03-01 22:00:00,1.523,5.727,6.09,1.6880000000000002,81928.1,783684.44,-0.5000000000000004,1.0,NW
2021-03-01 23:00:00,0.794,4.453,4.684,0.9155,29250.959,600718.44,-0.2588190451025216,1.0,cv
2021-03-02 00:00:00,0.574,2.94,4.23,0.7427,26858.818,203734.64,0.0,0.6234898018587336,SE
2021-03-02 01:00:00,0.4045,1.995,3.809,0.5093,18397.574,69591.336,0.25881904510252074,0.6234898018587336,SE
2021-03-02 02:00:00,0.2773,1.536,3.455,0.3677,5278.073,23741.61,0.5,0.6234898018587336,SE
2021-03-02 03:00:00,0.217,1.344,3.188,0.1405,959.389,2168.385,0.7071067811865475,0.6234898018587336,SE
2021-03-02 04:00:00,0.2927,1.844,3.62,0.3618,6164.795,65873.02,0.8660254037844386,0.6234898018587336,SE
2021-03-02 05:00:00,0.3972,1.652,3.781,0.3762,6847.618,38245.633,0.9659258262890684,0.6234898018587336,SE
2021-03-02 06:00:00,0.3782,1.526,3.443,0.3657,12984.875,27127.2,1.0,0.6234898018587336,SE
2021-03-02 07:00:00,1.329,3.244,5.215,1.082,140245.38,305658.9,0.9659258262890684,0.6234898018587336,SE
